sampleA	sampleB	n_avail	n_a	n_b	n_sh	SHa	SHb	SHc	SHs
BB04	BB05	731250	53769	53809	53712	0.9989	0.9982	0.0482	-0.0024
BB09	BB10	732567	53646	53645	53567	0.9985	0.9985	0.0485	-0.0024
JS03	JS04	714678	50609	50634	50533	0.9985	0.998	0.048	-0.0023
NN02	NN06	761686	2203	2194	2168	0.9841	0.9881	0.0341	-0.0013
NN02	NN07	761584	2200	2182	2166	0.9845	0.9927	0.0345	-0.0015
NN02	NN09	761648	2203	2200	2169	0.9846	0.9859	0.0346	-0.0012
NN02	NN10	761599	2195	2192	2158	0.9831	0.9845	0.0331	-0.0011
NN06	NN07	761615	2193	2180	2166	0.9877	0.9936	0.0377	-0.0016
NN06	NN09	761654	2196	2202	2180	0.9927	0.99	0.04	-0.0017
NN06	NN10	761618	2189	2189	2168	0.9904	0.9904	0.0404	-0.0016
NN07	NN09	761570	2183	2200	2169	0.9936	0.9859	0.0359	-0.0016
NN07	NN10	761493	2172	2188	2156	0.9926	0.9854	0.0354	-0.0015
NN09	NN10	761559	2193	2189	2175	0.9918	0.9936	0.0418	-0.0018
PO02	PO05	754168	10639	10635	10618	0.998	0.9984	0.048	-0.0023
PO02	PO07	754136	10640	10637	10618	0.9979	0.9982	0.0479	-0.0023
PO02	PO08	754188	10619	10622	10599	0.9981	0.9978	0.0478	-0.0023
PO02	PO10	753696	10629	10628	10611	0.9983	0.9984	0.0483	-0.0023
PO02	PO11	753843	10639	10632	10615	0.9977	0.9984	0.0477	-0.0023
PO02	PO12	753870	10637	10624	10615	0.9979	0.9992	0.0479	-0.0024
PO03	PO04	756370	9159	9161	9153	0.9993	0.9991	0.0491	-0.0024
PO03	PO06	756714	9174	9181	9173	0.9999	0.9991	0.0491	-0.0025
PO03	PO09	756137	9160	9165	9152	0.9991	0.9986	0.0486	-0.0024
PO04	PO06	756405	9161	9162	9152	0.999	0.9989	0.0489	-0.0024
PO04	PO09	756040	9152	9156	9144	0.9991	0.9987	0.0487	-0.0024
PO05	PO07	756560	10653	10658	10647	0.9994	0.999	0.049	-0.0024
PO05	PO08	756565	10631	10637	10625	0.9994	0.9989	0.0489	-0.0024
PO05	PO10	755914	10640	10637	10633	0.9993	0.9996	0.0493	-0.0024
PO05	PO11	756178	10646	10645	10633	0.9988	0.9989	0.0488	-0.0024
PO05	PO12	756262	10645	10641	10637	0.9992	0.9996	0.0492	-0.0024
PO06	PO09	756197	9164	9165	9155	0.999	0.9989	0.0489	-0.0024
PO07	PO08	756484	10637	10644	10632	0.9995	0.9989	0.0489	-0.0024
PO07	PO10	755834	10641	10638	10630	0.999	0.9992	0.049	-0.0024
PO07	PO11	756098	10654	10652	10641	0.9988	0.999	0.0488	-0.0024
PO07	PO12	756150	10650	10642	10636	0.9987	0.9994	0.0487	-0.0024
PO08	PO10	755875	10626	10621	10614	0.9989	0.9993	0.0489	-0.0024
PO08	PO11	756118	10637	10630	10620	0.9984	0.9991	0.0484	-0.0024
PO08	PO12	756171	10636	10625	10621	0.9986	0.9996	0.0486	-0.0024
PO10	PO11	755584	10639	10635	10627	0.9989	0.9992	0.0489	-0.0024
PO10	PO12	755545	10632	10625	10623	0.9992	0.9998	0.0492	-0.0025
PO11	PO12	755807	10640	10631	10625	0.9986	0.9994	0.0486	-0.0024
SD04	SD11	723273	27084	27137	27014	0.9974	0.9955	0.0455	-0.0022
SD06	SD09	726048	24510	24519	24434	0.9969	0.9965	0.0465	-0.0022
WN04	WN09	759232	5981	5987	5979	0.9997	0.9987	0.0487	-0.0024
WN06	WN10	758513	6283	6279	6276	0.9989	0.9995	0.0489	-0.0024
