sampleA	sampleB	n_avail	n_a	n_b	n_sh	SHa	SHb	SHc	SHs
NN02	NN05	761258	2173	3235	2135	0.9825	0.66	-0.29	0.0094
NN02	NN08	761320	2178	3070	2143	0.9839	0.698	-0.252	0.0085
NN05	NN06	761261	3238	2167	2153	0.6649	0.9935	-0.2851	0.0124
NN05	NN07	761187	3239	2156	2137	0.6598	0.9912	-0.2902	0.012
NN05	NN09	761239	3243	2175	2149	0.6627	0.988	-0.2873	0.0109
NN05	NN10	761159	3234	2162	2137	0.6608	0.9884	-0.2892	0.0111
NN06	NN08	761320	2170	3074	2141	0.9866	0.6965	-0.2535	0.0093
NN07	NN08	761213	2160	3070	2143	0.9921	0.698	-0.252	0.0106
NN08	NN09	761264	3069	2178	2141	0.6976	0.983	-0.2524	0.0083
NN08	NN10	761229	3067	2166	2134	0.6958	0.9852	-0.2542	0.0089
SD02	SD03	720602	27328	42025	27184	0.9947	0.6469	-0.3031	0.0135
SD02	SD12	712655	27725	32898	27627	0.9965	0.8398	-0.1102	0.0051
SD03	SD12	715155	36019	32680	32469	0.9014	0.9935	-0.0486	0.0021
WN02	WN03	759744	10277	5617	5609	0.5458	0.9986	-0.4042	0.0196
WN02	WN07	760458	10774	8042	7963	0.7391	0.9902	-0.2109	0.0085
WN05	WN12	757545	5740	8582	5737	0.9995	0.6685	-0.2815	0.0139
