sampleA	sampleB	n_avail	n_a	n_b	n_sh	SHa	SHb	SHc	SHs
ALI01	ALI02	447455	14775	8392	6439	0.4358	0.7673	-0.5142	-0.0939
ALI01	ALI03	227614	7476	7016	5535	0.7404	0.7889	-0.2096	-0.0338
ALI01	ALI04	183105	6254	5539	4352	0.6959	0.7857	-0.2541	-0.0417
ALI01	ALI05	506095	15918	13931	10746	0.6751	0.7714	-0.2749	-0.0491
ALI01	ALI06	481629	15021	9611	7411	0.4934	0.7711	-0.4566	-0.0817
ALI01	ALI07	525658	16748	10311	7690	0.4592	0.7458	-0.4908	-0.1002
ALI01	ALI09	546376	16507	9821	7177	0.4348	0.7308	-0.5152	-0.1129
ALI01	ALI10	455342	13167	11639	8718	0.6621	0.749	-0.2879	-0.0579
ALI01	ALI11	540422	17098	9878	7786	0.4554	0.7882	-0.4946	-0.08
ALI01	ALI12	542467	17217	10202	7731	0.449	0.7578	-0.501	-0.0963
ALI01	ALI16	119840	4705	4091	3237	0.688	0.7912	-0.262	-0.0416
ALI02	ALI03	223969	4633	7633	3562	0.7688	0.4667	-0.4833	-0.0876
ALI02	ALI04	181641	4008	5874	2829	0.7058	0.4816	-0.4684	-0.1144
ALI02	ALI05	505356	9669	15100	6646	0.6874	0.4401	-0.5099	-0.1339
ALI02	ALI06	479987	9007	10332	4447	0.4937	0.4304	-0.5196	-0.2371
ALI02	ALI07	524656	10154	11025	4998	0.4922	0.4533	-0.4967	-0.2274
ALI02	ALI09	547575	10181	10737	4798	0.4713	0.4469	-0.5031	-0.2408
ALI02	ALI10	451400	8039	12517	5551	0.6905	0.4435	-0.5065	-0.1314
ALI02	ALI11	540840	10459	10744	4787	0.4577	0.4456	-0.5044	-0.2483
ALI02	ALI12	542868	10468	11121	5192	0.496	0.4669	-0.4831	-0.2193
ALI02	ALI16	118285	3006	4404	2218	0.7379	0.5036	-0.4464	-0.0947
ALI03	ALI04	99721	3714	3412	2635	0.7095	0.7723	-0.2405	-0.0427
ALI03	ALI05	250147	8091	7440	5600	0.6921	0.7527	-0.2579	-0.0509
ALI03	ALI06	238236	7582	5255	3892	0.5133	0.7406	-0.4367	-0.0914
ALI03	ALI07	256797	8407	5543	4139	0.4923	0.7467	-0.4577	-0.0931
ALI03	ALI09	261098	8091	5239	3807	0.4705	0.7267	-0.4795	-0.1071
ALI03	ALI10	231766	6904	6464	4789	0.6937	0.7409	-0.2563	-0.0536
ALI03	ALI11	260379	8484	5289	3984	0.4696	0.7533	-0.4804	-0.0945
ALI03	ALI12	261197	8497	5497	4044	0.4759	0.7357	-0.4741	-0.1016
ALI03	ALI16	66663	2748	2623	2034	0.7402	0.7754	-0.2098	-0.0366
ALI04	ALI05	203686	6305	6309	4435	0.7034	0.703	-0.247	-0.0609
ALI04	ALI06	194065	5942	4526	3135	0.5276	0.6927	-0.4224	-0.1087
ALI04	ALI07	209510	6570	4796	3477	0.5292	0.725	-0.4208	-0.0947
ALI04	ALI09	214808	6399	4436	2973	0.4646	0.6702	-0.4854	-0.1358
