time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.80096e-06	3.39096
1	3.80096e-06	7.70066e-06	10379.9
2	7.70066e-06	1.17044e-05	34990.5
3	1.17044e-05	1.58178e-05	38005.3
4	1.58178e-05	2.00471e-05	31889.6
5	2.00471e-05	2.4399e-05	25615.8
6	2.4399e-05	2.88808e-05	20549.9
7	2.88808e-05	3.35005e-05	16589.7
8	3.35005e-05	3.8267e-05	13511.2
9	3.8267e-05	4.31897e-05	11112.5
10	4.31897e-05	4.82793e-05	8396.77
11	4.82793e-05	5.35476e-05	8396.77
12	5.35476e-05	5.90075e-05	5954.16
13	5.90075e-05	6.46734e-05	5954.16
14	6.46734e-05	7.05616e-05	4344.77
15	7.05616e-05	7.66902e-05	4344.77
16	7.66902e-05	8.30797e-05	3262.98
17	8.30797e-05	8.97532e-05	3262.98
18	8.97532e-05	9.67373e-05	2524.17
19	9.67373e-05	0.000104062	2524.17
20	0.000104062	0.000111763	2009.54
21	0.000111763	0.00011988	2009.54
22	0.00011988	0.000128461	1641.91
23	0.000128461	0.000137563	1641.91
24	0.000137563	0.000147252	1371.08
25	0.000147252	0.00015761	1371.08
26	0.00015761	0.000168736	1164.08
27	0.000168736	0.000180752	1164.08
28	0.000180752	0.000193815	998.959
29	0.000193815	0.000208124	998.959
30	0.000208124	0.000223942	860.512
31	0.000223942	0.000241625	860.512
32	0.000241625	0.000261672	737.315
33	0.000261672	0.000284815	737.315
34	0.000284815	0.000312186	619.057
35	0.000312186	0.000345687	619.057
36	0.000345687	0.000388877	491.602
37	0.000388877	0.000449749	491.602
38	0.000449749	0.000553811	373.136
39	0.000553811	inf	373.136
