time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.46746e-06	240.905
1	3.46746e-06	7.02499e-06	33770.7
2	7.02499e-06	1.06774e-05	50352.4
3	1.06774e-05	1.44299e-05	38934.6
4	1.44299e-05	1.82881e-05	28310.2
5	1.82881e-05	2.22582e-05	21436.1
6	2.22582e-05	2.63467e-05	16928.1
7	2.63467e-05	3.05611e-05	13765.7
8	3.05611e-05	3.49094e-05	11392.6
9	3.49094e-05	3.94002e-05	9523.59
10	3.94002e-05	4.40432e-05	7336.11
11	4.40432e-05	4.88492e-05	7336.11
12	4.88492e-05	5.38301e-05	5299.54
13	5.38301e-05	5.89989e-05	5299.54
14	5.89989e-05	6.43704e-05	3930.7
15	6.43704e-05	6.99613e-05	3930.7
16	6.99613e-05	7.57902e-05	3002.45
17	7.57902e-05	8.18782e-05	3002.45
18	8.18782e-05	8.82494e-05	2362.98
19	8.82494e-05	9.49316e-05	2362.98
20	9.49316e-05	0.000101957	1912.63
21	0.000101957	0.000109361	1912.63
22	0.000109361	0.00011719	1586.94
23	0.00011719	0.000125493	1586.94
24	0.000125493	0.000134332	1344.3
25	0.000134332	0.000143781	1344.3
26	0.000143781	0.00015393	1157.42
27	0.00015393	0.000164893	1157.42
28	0.000164893	0.00017681	1007.83
29	0.00017681	0.000189863	1007.83
30	0.000189863	0.000204293	882.189
31	0.000204293	0.000220424	882.189
32	0.000220424	0.000238712	769.717
33	0.000238712	0.000259824	769.717
34	0.000259824	0.000284795	659.731
35	0.000284795	0.000315356	659.731
36	0.000315356	0.000354756	536.332
37	0.000354756	0.000410287	536.332
38	0.000410287	0.000505219	414.838
39	0.000505219	inf	414.838
