time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	1.71248e-05	376.456
1	1.71248e-05	3.46944e-05	6552.48
2	3.46944e-05	5.27326e-05	6323.91
3	5.27326e-05	7.12651e-05	4709.2
4	7.12651e-05	9.03196e-05	3516.67
5	9.03196e-05	0.000109927	2694.46
6	0.000109927	0.000130119	2130.96
7	0.000130119	0.000150933	1742.47
8	0.000150933	0.000172407	1471.73
9	0.000172407	0.000194586	1280.93
10	0.000194586	0.000217517	1093.01
11	0.000217517	0.000241252	1093.01
12	0.000241252	0.000265851	948.808
13	0.000265851	0.000291378	948.808
14	0.000291378	0.000317907	867.509
15	0.000317907	0.000345519	867.509
16	0.000345519	0.000374306	817.056
17	0.000374306	0.000404372	817.056
18	0.000404372	0.000435838	783.462
19	0.000435838	0.00046884	783.462
20	0.00046884	0.000503534	759.85
21	0.000503534	0.000540105	759.85
22	0.000540105	0.000578766	742.86
23	0.000578766	0.000619772	742.86
24	0.000619772	0.000663426	731.52
25	0.000663426	0.000710092	731.52
26	0.000710092	0.000760218	725.921
27	0.000760218	0.000814358	725.921
28	0.000814358	0.000873212	725.761
29	0.000873212	0.000937679	725.761
30	0.000937679	0.00100894	728.896
31	0.00100894	0.00108861	728.896
32	0.00108861	0.00117893	729.705
33	0.00117893	0.0012832	729.705
34	0.0012832	0.00140652	716.449
35	0.00140652	0.00155745	716.449
36	0.00155745	0.00175204	662.887
37	0.00175204	0.00202629	662.887
38	0.00202629	0.00249513	551.86
39	0.00249513	inf	551.86
