time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	2.18792e-06	37289.2
1	2.18792e-06	4.43269e-06	22665.2
2	4.43269e-06	6.73731e-06	3695.92
3	6.73731e-06	9.10509e-06	2726.33
4	9.10509e-06	1.15396e-05	2886.72
5	1.15396e-05	1.40446e-05	3477.92
6	1.40446e-05	1.66245e-05	4314.9
7	1.66245e-05	1.92837e-05	5243.68
8	1.92837e-05	2.20274e-05	6136.45
9	2.20274e-05	2.4861e-05	6916.82
10	2.4861e-05	2.77907e-05	7813.18
11	2.77907e-05	3.08233e-05	7813.18
12	3.08233e-05	3.39661e-05	8546.28
13	3.39661e-05	3.72276e-05	8546.28
14	3.72276e-05	4.0617e-05	8847.55
15	4.0617e-05	4.41447e-05	8847.55
16	4.41447e-05	4.78227e-05	8865.57
17	4.78227e-05	5.16641e-05	8865.57
18	5.16641e-05	5.56843e-05	8751.88
19	5.56843e-05	5.99007e-05	8751.88
20	5.99007e-05	6.43334e-05	8624.89
21	6.43334e-05	6.90058e-05	8624.89
22	6.90058e-05	7.39453e-05	8557.99
23	7.39453e-05	7.91844e-05	8557.99
24	7.91844e-05	8.47617e-05	8592.14
25	8.47617e-05	9.0724e-05	8592.14
26	9.0724e-05	9.71283e-05	8751.75
27	9.71283e-05	0.000104045	8751.75
28	0.000104045	0.000111565	9052.64
29	0.000111565	0.000119801	9052.64
30	0.000119801	0.000128906	9501.01
31	0.000128906	0.000139085	9501.01
32	0.000139085	0.000150625	10079.3
33	0.000150625	0.000163946	10079.3
34	0.000163946	0.000179702	10701.5
35	0.000179702	0.000198986	10701.5
36	0.000198986	0.000223847	11080
37	0.000223847	0.000258886	11080
38	0.000258886	0.000318787	10674.5
39	0.000318787	inf	10674.5
