time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	2.50225e-06	0.00149765
1	2.50225e-06	5.06949e-06	131.781
2	5.06949e-06	7.70521e-06	1645.89
3	7.70521e-06	1.04131e-05	4341.7
4	1.04131e-05	1.31974e-05	7804.88
5	1.31974e-05	1.60623e-05	11188.7
6	1.60623e-05	1.90128e-05	13762.5
7	1.90128e-05	2.2054e-05	15271
8	2.2054e-05	2.51919e-05	15787.2
9	2.51919e-05	2.84326e-05	15533.9
10	2.84326e-05	3.17832e-05	14212.7
11	3.17832e-05	3.52514e-05	14212.7
12	3.52514e-05	3.88458e-05	11980.2
13	3.88458e-05	4.25758e-05	11980.2
14	4.25758e-05	4.64521e-05	9939.39
15	4.64521e-05	5.04867e-05	9939.39
16	5.04867e-05	5.4693e-05	8387.3
17	5.4693e-05	5.90863e-05	8387.3
18	5.90863e-05	6.3684e-05	7313.94
19	6.3684e-05	6.85061e-05	7313.94
20	6.85061e-05	7.35756e-05	6627.43
21	7.35756e-05	7.89193e-05	6627.43
22	7.89193e-05	8.45684e-05	6236.28
23	8.45684e-05	9.05602e-05	6236.28
24	9.05602e-05	9.69387e-05	6069.44
25	9.69387e-05	0.000103758	6069.44
26	0.000103758	0.000111082	6076.88
27	0.000111082	0.000118993	6076.88
28	0.000118993	0.000127592	6228.32
29	0.000127592	0.000137012	6228.32
30	0.000137012	0.000147425	6512.69
31	0.000147425	0.000159066	6512.69
32	0.000159066	0.000172264	6941.16
33	0.000172264	0.000187499	6941.16
34	0.000187499	0.000205518	7539.69
35	0.000205518	0.000227572	7539.69
36	0.000227572	0.000256005	8256.93
37	0.000256005	0.000296079	8256.93
38	0.000296079	0.000364585	8499.51
39	0.000364585	inf	8499.51
