time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	1.67339e-05	756.23
1	1.67339e-05	3.39024e-05	5574.19
2	3.39024e-05	5.15289e-05	5506.35
3	5.15289e-05	6.96383e-05	4126.57
4	6.96383e-05	8.82579e-05	3038.95
5	8.82579e-05	0.000107417	2286.08
6	0.000107417	0.000127149	1790.1
7	0.000127149	0.000147487	1471.8
8	0.000147487	0.000168472	1266.42
9	0.000168472	0.000190144	1130.87
10	0.000190144	0.000212552	1006.11
11	0.000212552	0.000235745	1006.11
12	0.000235745	0.000259783	917.878
13	0.000259783	0.000284727	917.878
14	0.000284727	0.00031065	876.893
15	0.00031065	0.000337632	876.893
16	0.000337632	0.000365761	858.821
17	0.000365761	0.000395142	858.821
18	0.000395142	0.000425889	851.328
19	0.000425889	0.000458137	851.328
20	0.000458137	0.00049204	848.995
21	0.00049204	0.000527776	848.995
22	0.000527776	0.000565555	850.105
23	0.000565555	0.000605625	850.105
24	0.000605625	0.000648282	854.766
25	0.000648282	0.000693883	854.766
26	0.000693883	0.000742865	863.908
27	0.000742865	0.000795769	863.908
28	0.000795769	0.000853279	878.165
29	0.000853279	0.000916275	878.165
30	0.000916275	0.000985913	896.772
31	0.000985913	0.00106376	896.772
32	0.00106376	0.00115202	917.23
33	0.00115202	0.00125391	917.23
34	0.00125391	0.00137441	934.989
35	0.00137441	0.0015219	934.989
36	0.0015219	0.00171204	933.649
37	0.00171204	0.00198004	933.649
38	0.00198004	0.00243817	863.32
39	0.00243817	inf	863.32
