time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	1.70643e-05	1234.37
1	1.70643e-05	3.45718e-05	3821.62
2	3.45718e-05	5.25463e-05	4739.01
3	5.25463e-05	7.10132e-05	3921.05
4	7.10132e-05	9.00005e-05	2966.58
5	9.00005e-05	0.000109538	2268.55
6	0.000109538	0.000129659	1817.55
7	0.000129659	0.000150399	1531.96
8	0.000150399	0.000171798	1346.99
9	0.000171798	0.000193898	1222.56
10	0.000193898	0.000216748	1102.03
11	0.000216748	0.0002404	1102.03
12	0.0002404	0.000264912	1005.29
13	0.000264912	0.000290349	1005.29
14	0.000290349	0.000316784	945.057
15	0.000316784	0.000344298	945.057
16	0.000344298	0.000372983	904.036
17	0.000372983	0.000402944	904.036
18	0.000402944	0.000434298	877.04
19	0.000434298	0.000467183	877.04
20	0.000467183	0.000501755	862.435
21	0.000501755	0.000538196	862.435
22	0.000538196	0.000576721	858.718
23	0.000576721	0.000617582	858.718
24	0.000617582	0.000661081	864.106
25	0.000661081	0.000707583	864.106
26	0.000707583	0.000757532	876.79
27	0.000757532	0.00081148	876.79
28	0.00081148	0.000870126	895.099
29	0.000870126	0.000934366	895.099
30	0.000934366	0.00100538	917.386
31	0.00100538	0.00108476	917.386
32	0.00108476	0.00117477	940.846
33	0.00117477	0.00127866	940.846
34	0.00127866	0.00140155	958.473
35	0.00140155	0.00155195	958.473
36	0.00155195	0.00174585	947.021
37	0.00174585	0.00201913	947.021
38	0.00201913	0.00248631	853.025
39	0.00248631	inf	853.025
