time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	2.17966e-06	5243.83
1	2.17966e-06	4.41595e-06	3.37991
2	4.41595e-06	6.71187e-06	64.1821
3	6.71187e-06	9.0707e-06	419.498
4	9.0707e-06	1.1496e-05	1348.06
5	1.1496e-05	1.39916e-05	2873.52
6	1.39916e-05	1.65617e-05	4739.85
7	1.65617e-05	1.92109e-05	6613.03
8	1.92109e-05	2.19442e-05	8251.02
9	2.19442e-05	2.47671e-05	9551.41
10	2.47671e-05	2.76858e-05	10873
11	2.76858e-05	3.07069e-05	10873
12	3.07069e-05	3.38378e-05	11850.8
13	3.38378e-05	3.7087e-05	11850.8
14	3.7087e-05	4.04636e-05	12310.6
15	4.04636e-05	4.3978e-05	12310.6
16	4.3978e-05	4.76421e-05	12536.7
17	4.76421e-05	5.1469e-05	12536.7
18	5.1469e-05	5.5474e-05	12654.9
19	5.5474e-05	5.96745e-05	12654.9
20	5.96745e-05	6.40904e-05	12688.8
21	6.40904e-05	6.87452e-05	12688.8
22	6.87452e-05	7.36661e-05	12611.5
23	7.36661e-05	7.88854e-05	12611.5
24	7.88854e-05	8.44416e-05	12395.1
25	8.44416e-05	9.03813e-05	12395.1
26	9.03813e-05	9.67615e-05	12043.3
27	9.67615e-05	0.000103652	12043.3
28	0.000103652	0.000111143	11591.7
29	0.000111143	0.000119349	11591.7
30	0.000119349	0.00012842	11086.7
31	0.00012842	0.00013856	11086.7
32	0.00013856	0.000150056	10564
33	0.000150056	0.000163327	10564
34	0.000163327	0.000179023	10042.5
35	0.000179023	0.000198234	10042.5
36	0.000198234	0.000223001	9505.35
37	0.000223001	0.000257909	9505.35
38	0.000257909	0.000317583	8847.43
39	0.000317583	inf	8847.43
