time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.37689e-06	0.00184369
1	3.37689e-06	6.84151e-06	0.56104
2	6.84151e-06	1.03985e-05	10.9256
3	1.03985e-05	1.4053e-05	45.447
4	1.4053e-05	1.78104e-05	122.603
5	1.78104e-05	2.16768e-05	276.704
6	2.16768e-05	2.56586e-05	553.191
7	2.56586e-05	2.97629e-05	992.634
8	2.97629e-05	3.39976e-05	1611.49
9	3.39976e-05	3.83711e-05	2391.62
10	3.83711e-05	4.28929e-05	3751.54
11	4.28929e-05	4.75734e-05	3751.54
12	4.75734e-05	5.24241e-05	5623.42
13	5.24241e-05	5.74579e-05	5623.42
14	5.74579e-05	6.26892e-05	7261.77
15	6.26892e-05	6.8134e-05	7261.77
16	6.8134e-05	7.38106e-05	8545.15
17	7.38106e-05	7.97396e-05	8545.15
18	7.97396e-05	8.59445e-05	9483.06
19	8.59445e-05	9.24521e-05	9483.06
20	9.24521e-05	9.92936e-05	10124.2
21	9.92936e-05	0.000106505	10124.2
22	0.000106505	0.000114129	10517
23	0.000114129	0.000122215	10517
24	0.000122215	0.000130823	10696.8
25	0.000130823	0.000140025	10696.8
26	0.000140025	0.00014991	10684.3
27	0.00014991	0.000160586	10684.3
28	0.000160586	0.000172192	10490.1
29	0.000172192	0.000184904	10490.1
30	0.000184904	0.000198957	10121.3
31	0.000198957	0.000214667	10121.3
32	0.000214667	0.000232478	9584.12
33	0.000232478	0.000253038	9584.12
34	0.000253038	0.000277356	8875.95
35	0.000277356	0.000307119	8875.95
36	0.000307119	0.00034549	7959.19
37	0.00034549	0.000399571	7959.19
38	0.000399571	0.000492024	6999.87
39	0.000492024	inf	6999.87
