time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	6.30672e-07	0.00986101
1	6.30672e-07	1.27773e-06	0.00732512
2	1.27773e-06	1.94204e-06	0.0817288
3	1.94204e-06	2.62455e-06	3.09142
4	2.62455e-06	3.32629e-06	36.3477
5	3.32629e-06	4.04838e-06	213.944
6	4.04838e-06	4.79202e-06	802.457
7	4.79202e-06	5.55855e-06	2194.7
8	5.55855e-06	6.34942e-06	4774.45
9	6.34942e-06	7.16622e-06	8756.93
10	7.16622e-06	8.01071e-06	17189.8
11	8.01071e-06	8.88484e-06	17189.8
12	8.88484e-06	9.79077e-06	31342.1
13	9.79077e-06	1.07309e-05	31342.1
14	1.07309e-05	1.17079e-05	45518.4
15	1.17079e-05	1.27248e-05	45518.4
16	1.27248e-05	1.37849e-05	56773.5
17	1.37849e-05	1.48922e-05	56773.5
18	1.48922e-05	1.60511e-05	63800.8
19	1.60511e-05	1.72664e-05	63800.8
20	1.72664e-05	1.85442e-05	66786.5
21	1.85442e-05	1.9891e-05	66786.5
22	1.9891e-05	2.13148e-05	66613
23	2.13148e-05	2.2825e-05	66613
24	2.2825e-05	2.44327e-05	64156.8
25	2.44327e-05	2.61513e-05	64156.8
26	2.61513e-05	2.79973e-05	59995.9
27	2.79973e-05	2.99912e-05	59995.9
28	2.99912e-05	3.21587e-05	54509.6
29	3.21587e-05	3.45329e-05	54509.6
30	3.45329e-05	3.71574e-05	48069.8
31	3.71574e-05	4.00914e-05	48069.8
32	4.00914e-05	4.34177e-05	41161
33	4.34177e-05	4.72576e-05	41161
34	4.72576e-05	5.17993e-05	34292.8
35	5.17993e-05	5.73578e-05	34292.8
36	5.73578e-05	6.45241e-05	27569.4
37	6.45241e-05	7.46243e-05	27569.4
38	7.46243e-05	9.18907e-05	21551
39	9.18907e-05	inf	21551
