time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	2.88941e-06	8786.39
1	2.88941e-06	5.85387e-06	259.127
2	5.85387e-06	8.8974e-06	213.975
3	8.8974e-06	1.20243e-05	716.23
4	1.20243e-05	1.52393e-05	1804.43
5	1.52393e-05	1.85476e-05	3318.37
6	1.85476e-05	2.19545e-05	4942.13
7	2.19545e-05	2.54664e-05	6406.92
8	2.54664e-05	2.90897e-05	7573.48
9	2.90897e-05	3.28319e-05	8415.46
10	3.28319e-05	3.67009e-05	9138.08
11	3.67009e-05	4.07057e-05	9138.08
12	4.07057e-05	4.48562e-05	9433.37
13	4.48562e-05	4.91633e-05	9433.37
14	4.91633e-05	5.36394e-05	9248.26
15	5.36394e-05	5.82982e-05	9248.26
16	5.82982e-05	6.31554e-05	8843.02
17	6.31554e-05	6.82284e-05	8843.02
18	6.82284e-05	7.35376e-05	8405.77
19	7.35376e-05	7.91058e-05	8405.77
20	7.91058e-05	8.49596e-05	8052.11
21	8.49596e-05	9.11301e-05	8052.11
22	9.11301e-05	9.76533e-05	7832.06
23	9.76533e-05	0.000104572	7832.06
24	0.000104572	0.000111938	7751.01
25	0.000111938	0.000119811	7751.01
26	0.000119811	0.000128269	7790.01
27	0.000128269	0.000137404	7790.01
28	0.000137404	0.000147334	7921.66
29	0.000147334	0.000158212	7921.66
30	0.000158212	0.000170236	8120.71
31	0.000170236	0.000183678	8120.71
32	0.000183678	0.000198917	8364.53
33	0.000198917	0.00021651	8364.53
34	0.00021651	0.000237317	8609.12
35	0.000237317	0.000262784	8609.12
36	0.000262784	0.000295616	8721.85
37	0.000295616	0.000341889	8721.85
38	0.000341889	0.000420995	8414.38
39	0.000420995	inf	8414.38
