time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	1.3611e-06	0.00319412
1	1.3611e-06	2.75755e-06	55.8662
2	2.75755e-06	4.19124e-06	1783.55
3	4.19124e-06	5.66422e-06	6730.95
4	5.66422e-06	7.1787e-06	13227.4
5	7.1787e-06	8.73708e-06	19369.5
6	8.73708e-06	1.0342e-05	23829.5
7	1.0342e-05	1.19963e-05	26222.4
8	1.19963e-05	1.37031e-05	26905
9	1.37031e-05	1.54659e-05	26475.6
10	1.54659e-05	1.72885e-05	24758.6
11	1.72885e-05	1.9175e-05	24758.6
12	1.9175e-05	2.11301e-05	22052.8
13	2.11301e-05	2.31591e-05	22052.8
14	2.31591e-05	2.52676e-05	19524.5
15	2.52676e-05	2.74622e-05	19524.5
16	2.74622e-05	2.97502e-05	17411.6
17	2.97502e-05	3.21399e-05	17411.6
18	3.21399e-05	3.46409e-05	15722.3
19	3.46409e-05	3.72639e-05	15722.3
20	3.72639e-05	4.00214e-05	14388.7
21	4.00214e-05	4.29281e-05	14388.7
22	4.29281e-05	4.60009e-05	13329.5
23	4.60009e-05	4.92601e-05	13329.5
24	4.92601e-05	5.27298e-05	12474.3
25	5.27298e-05	5.64388e-05	12474.3
26	5.64388e-05	6.04229e-05	11776.5
27	6.04229e-05	6.4726e-05	11776.5
28	6.4726e-05	6.94038e-05	11213
29	6.94038e-05	7.45277e-05	11213
30	7.45277e-05	8.01919e-05	10786.1
31	8.01919e-05	8.6524e-05	10786.1
32	8.6524e-05	9.37027e-05	10524.3
33	9.37027e-05	0.00010199	10524.3
34	0.00010199	0.000111792	10476.3
35	0.000111792	0.000123788	10476.3
36	0.000123788	0.000139254	10641.9
37	0.000139254	0.000161052	10641.9
38	0.000161052	0.000198316	10499.7
39	0.000198316	inf	10499.7
