time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	7.61297e-06	3965.08
1	7.61297e-06	1.54237e-05	213.706
2	1.54237e-05	2.34427e-05	1296.9
3	2.34427e-05	3.16815e-05	2795.67
4	3.16815e-05	4.01524e-05	3836.5
5	4.01524e-05	4.88688e-05	4227.95
6	4.88688e-05	5.78455e-05	4203.8
7	5.78455e-05	6.70984e-05	4005.02
8	6.70984e-05	7.66451e-05	3762.98
9	7.66451e-05	8.65049e-05	3529.72
10	8.65049e-05	9.6699e-05	3222.99
11	9.6699e-05	0.000107251	3222.99
12	0.000107251	0.000118186	2911.51
13	0.000118186	0.000129535	2911.51
14	0.000129535	0.000141328	2706.37
15	0.000141328	0.000153603	2706.37
16	0.000153603	0.000166401	2597.97
17	0.000166401	0.000179767	2597.97
18	0.000179767	0.000193756	2566.6
19	0.000193756	0.000208427	2566.6
20	0.000208427	0.00022385	2590.45
21	0.00022385	0.000240108	2590.45
22	0.000240108	0.000257296	2650.01
23	0.000257296	0.000275525	2650.01
24	0.000275525	0.000294932	2726.7
25	0.000294932	0.000315678	2726.7
26	0.000315678	0.000337962	2799.54
27	0.000337962	0.00036203	2799.54
28	0.00036203	0.000388194	2842.72
29	0.000388194	0.000416853	2842.72
30	0.000416853	0.000448535	2823.88
31	0.000448535	0.000483952	2823.88
32	0.000483952	0.000524104	2701.98
33	0.000524104	0.000570457	2701.98
34	0.000570457	0.00062528	2424.2
35	0.00062528	0.000692379	2424.2
36	0.000692379	0.000778884	1908.19
37	0.000778884	0.000900805	1908.19
38	0.000900805	0.00110923	1273.83
39	0.00110923	inf	1273.83
