time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	1.98305e-06	0.0036209
1	1.98305e-06	4.01762e-06	25.1947
2	4.01762e-06	6.10644e-06	579.178
3	6.10644e-06	8.2525e-06	1516.46
4	8.2525e-06	1.0459e-05	2596.99
5	1.0459e-05	1.27295e-05	4135.05
6	1.27295e-05	1.50678e-05	6279.74
7	1.50678e-05	1.7478e-05	8929.73
8	1.7478e-05	1.99648e-05	11799.3
9	1.99648e-05	2.25331e-05	14531.2
10	2.25331e-05	2.51885e-05	17628.5
11	2.51885e-05	2.7937e-05	17628.5
12	2.7937e-05	3.07856e-05	19340.6
13	3.07856e-05	3.37417e-05	19340.6
14	3.37417e-05	3.68137e-05	18552.5
15	3.68137e-05	4.00111e-05	18552.5
16	4.00111e-05	4.33446e-05	16524.6
17	4.33446e-05	4.68264e-05	16524.6
18	4.68264e-05	5.04701e-05	14331.2
19	5.04701e-05	5.42917e-05	14331.2
20	5.42917e-05	5.83093e-05	12466.7
21	5.83093e-05	6.25442e-05	12466.7
22	6.25442e-05	6.70212e-05	11028.7
23	6.70212e-05	7.17697e-05	11028.7
24	7.17697e-05	7.68248e-05	9958.84
25	7.68248e-05	8.22287e-05	9958.84
26	8.22287e-05	8.80333e-05	9172.96
27	8.80333e-05	9.43028e-05	9172.96
28	9.43028e-05	0.000101118	8608.67
29	0.000101118	0.000108583	8608.67
30	0.000108583	0.000116836	8236.04
31	0.000116836	0.000126061	8236.04
32	0.000126061	0.00013652	8055.86
33	0.00013652	0.000148594	8055.86
34	0.000148594	0.000162875	8090.95
35	0.000162875	0.000180353	8090.95
36	0.000180353	0.000202886	8335.67
37	0.000202886	0.000234645	8335.67
38	0.000234645	0.000288936	8381.17
39	0.000288936	inf	8381.17
