time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	1.14413e-05	15.9872
1	1.14413e-05	2.31797e-05	4802.74
2	2.31797e-05	3.52313e-05	9020.28
3	3.52313e-05	4.7613e-05	9270.61
4	4.7613e-05	6.03436e-05	8182.87
5	6.03436e-05	7.34433e-05	6832.48
6	7.34433e-05	8.6934e-05	5557.64
7	8.6934e-05	0.00010084	4479.68
8	0.00010084	0.000115187	3619.24
9	0.000115187	0.000130005	2953.53
10	0.000130005	0.000145326	2234.89
11	0.000145326	0.000161184	2234.89
12	0.000161184	0.000177618	1642.44
13	0.000177618	0.000194673	1642.44
14	0.000194673	0.000212397	1289.11
15	0.000212397	0.000230845	1289.11
16	0.000230845	0.000250078	1067.09
17	0.000250078	0.000270166	1067.09
18	0.000270166	0.000291189	920.565
19	0.000291189	0.000313237	920.565
20	0.000313237	0.000336417	820.217
21	0.000336417	0.00036085	820.217
22	0.00036085	0.000386681	749.898
23	0.000386681	0.000414077	749.898
24	0.000414077	0.000443243	700.135
25	0.000443243	0.000474421	700.135
26	0.000474421	0.000507911	664.714
27	0.000507911	0.000544082	664.714
28	0.000544082	0.000583403	638.798
29	0.000583403	0.000626475	638.798
30	0.000626475	0.000674088	617.76
31	0.000674088	0.000727315	617.76
32	0.000727315	0.000787658	596.371
33	0.000787658	0.00085732	596.371
34	0.00085732	0.000939712	567.182
35	0.000939712	0.00104055	567.182
36	0.00104055	0.00117056	513.237
37	0.00117056	0.00135379	513.237
38	0.00135379	0.00166703	423.095
39	0.00166703	inf	423.095
