time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	1.68772e-06	0.0025005
1	1.68772e-06	3.41928e-06	592.912
2	3.41928e-06	5.19703e-06	7513.6
3	5.19703e-06	7.02348e-06	11513.1
4	7.02348e-06	8.90139e-06	11457.5
5	8.90139e-06	1.08337e-05	11154.1
6	1.08337e-05	1.28238e-05	11269.9
7	1.28238e-05	1.48751e-05	11702.5
8	1.48751e-05	1.69915e-05	12315.7
9	1.69915e-05	1.91773e-05	13010.7
10	1.91773e-05	2.14372e-05	14072.3
11	2.14372e-05	2.37765e-05	14072.3
12	2.37765e-05	2.62008e-05	15263.4
13	2.62008e-05	2.87166e-05	15263.4
14	2.87166e-05	3.13311e-05	16028.7
15	3.13311e-05	3.40524e-05	16028.7
16	3.40524e-05	3.68894e-05	16278
17	3.68894e-05	3.98527e-05	16278
18	3.98527e-05	4.29538e-05	16011
19	4.29538e-05	4.62062e-05	16011
20	4.62062e-05	4.96255e-05	15289.8
21	4.96255e-05	5.32297e-05	15289.8
22	5.32297e-05	5.70399e-05	14240.4
23	5.70399e-05	6.10812e-05	14240.4
24	6.10812e-05	6.53835e-05	13034.1
25	6.53835e-05	6.99826e-05	13034.1
26	6.99826e-05	7.49228e-05	11847.1
27	7.49228e-05	8.02585e-05	11847.1
28	8.02585e-05	8.60588e-05	10822.2
29	8.60588e-05	9.24124e-05	10822.2
30	9.24124e-05	9.94358e-05	10052.1
31	9.94358e-05	0.000107287	10052.1
32	0.000107287	0.000116189	9586.87
33	0.000116189	0.000126465	9586.87
34	0.000126465	0.000138619	9456.94
35	0.000138619	0.000153494	9456.94
36	0.000153494	0.000172671	9692.82
37	0.000172671	0.0001997	9692.82
38	0.0001997	0.000245906	9982.01
39	0.000245906	inf	9982.01
