Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate	
0	-14849.82657819404	-14833.100037018474	-16.72654117556613	0.4094203162933889	11.0194823543176	0.006720777237229787	
750	-14850.73885949992	-14834.473353929521	-16.2655055703985	0.7507252880208927	10.272759105040594	0.007884805229007787	
1500	-14848.49032043256	-14831.267461013324	-17.222859419235796	0.5132000956510147	11.674271185156382	0.007154832155579645	
2250	-14849.787356649707	-14832.243540729547	-17.543815920159485	0.6215048936705243	11.740213095325936	0.007404613396982009	
3000	-14846.690393353718	-14830.658263978145	-16.03212937557396	0.5980483236320118	10.068383151928874	0.007771071920695665	
3750	-14852.873717069218	-14836.148661086167	-16.72505598305261	0.8326187187528391	10.8576371328587	0.005025877238393673	
4500	-14845.383591087437	-14827.389725369201	-17.99386571823534	0.6905972552916905	11.871402349033978	0.005880026407576551	
5250	-14846.385625837791	-14830.602108995061	-15.783516842730354	0.5443160759262429	10.728563015699354	0.005943301243409656	
6000	-14854.685437066617	-14837.243822770779	-17.441614295838747	0.9226891640967246	10.732754361835333	0.005916535821117174	
6750	-14848.20326574053	-14831.585728540478	-16.61753720005224	0.6388268010607949	11.355130154875196	0.00598632253448167	
7500	-14847.913245424683	-14831.870071608815	-16.043173815868023	0.490447624578152	10.677710652996515	0.00684690646587133	
8250	-14849.497845288684	-14832.137527435669	-17.3603178530151	0.8502925147898017	9.423446573745652	0.007743369417425992	
9000	-14845.929937718867	-14828.25174730081	-17.678190418057067	0.44185227883454836	11.919001395541796	0.0055960703848327055	
9750	-14852.337553397814	-14836.105247605747	-16.23230579206825	0.5750359529292803	11.359966721120827	0.004610682993906292	
10500	-14843.11842256879	-14826.85947729806	-16.25894527073092	0.5404505699180625	11.18832064180672	0.006287303213340573	
11250	-14845.40139376608	-14829.388068298507	-16.013325467573317	0.49862627194337134	10.601488781797373	0.00707788571508063	
12000	-14845.378661255487	-14828.990521743837	-16.388139511650376	0.651320525249376	9.801420654322861	0.009025521060879458	
12750	-14847.910029307215	-14828.417685923361	-19.492343383853317	0.8369930241278906	11.937659469441234	0.00716185009893334	
13500	-14847.32936578311	-14830.548992309365	-16.780373473743836	0.5171865455916438	11.52249446568122	0.006034751642668526	
14250	-14854.091312078257	-14837.858584360187	-16.23272771807086	0.7581754863223277	10.556571180798251	0.00636726706967417	
15000	-14848.787845981136	-14832.224258759186	-16.56358722194941	0.6551167478494535	11.255054390283046	0.006280536451433822	
15750	-14850.028912300342	-14831.326041118547	-18.70287118179528	0.9064949371241781	11.483235320563262	0.005718135855527439	
16500	-14848.332127626003	-14830.170283178208	-18.161844447796202	0.5336991109557916	12.110122744332385	0.006575535642814133	
17250	-14847.954132389743	-14831.923722129935	-16.030410259806736	0.5637290246199667	10.810252526186305	0.007314628579555011	
18000	-14847.028694170958	-14829.738951719406	-17.289742451552268	0.6880954284446587	11.476292719926924	0.007193099460518134	
18750	-14849.510141801664	-14831.021949886079	-18.488191915585446	0.5641218520786443	12.174479111420457	0.007315641107404595	
19500	-14847.559710590791	-14830.815965077241	-16.74374551354961	0.4440858763967701	9.977511189701467	0.007600113402438111	
20250	-14847.095484782762	-14828.989883057266	-18.10560172549532	0.5748755529244494	12.159577167264631	0.005146249028036821	
21000	-14847.52667243936	-14830.66335122193	-16.86332121742958	0.6937470594561473	11.430382413432598	0.00522500669338868	
21750	-14855.946029970628	-14835.749708202608	-20.196321768019885	0.6115856831156539	12.722392042702646	0.0059921252131277195	
22500	-14848.348331049754	-14832.484574921767	-15.86375612798664	0.5590378374204756	10.434582774859111	0.007140652873134094	
23250	-14848.001249124927	-14829.707205247454	-18.294043877472205	0.7811744924654185	11.758566850052668	0.005407517265778953	
24000	-14856.336704424346	-14839.82317407569	-16.51353034865682	0.43027269497325954	9.944192517873747	0.005021719177740365	
24750	-14848.383737704708	-14831.380066082755	-17.003671621952126	0.4457997412596103	11.625747200156152	0.005016776590174836	
25500	-14849.948831452371	-14828.833754997047	-21.11507645532442	0.3430600556214485	12.938177131224679	0.005297238437706455	
26250	-14854.571811795877	-14832.58881684588	-21.98299494999655	0.5959750996094141	13.250620829679141	0.005306762285694494	
27000	-14845.360406281863	-14829.216014664373	-16.144391617490975	0.45525816591068397	10.798640193726184	0.005946436213294455	
27750	-14847.390072670602	-14830.94643505096	-16.44363761964135	0.6041812076568052	11.28343961897481	0.0060678175446859115	
28500	-14846.138187529463	-14828.816325747579	-17.321861781883126	0.6043035353920146	11.736151111339867	0.006136456409609782	
29250	-14847.568288736293	-14831.276727699376	-16.291561036915795	0.7576114741075191	10.715081960244513	0.006251048534401641	
30000	-14847.857363934116	-14831.347287531777	-16.510076402339443	0.712113655383797	9.563069573418757	0.006755278238938254	
30750	-14846.665017534648	-14830.839120689114	-15.825896845532998	0.5897888667612532	10.619593886186575	0.00693332790335002	
31500	-14847.954407596273	-14828.821106552148	-19.13330104412442	0.44272580965354685	9.010749630307659	0.008118496950027393	
32250	-14845.41347075916	-14829.422469389645	-15.991001369515043	0.618974548380468	10.538270927821806	0.007935132199518856	
33000	-14843.529533917534	-14827.456235222435	-16.073298695098728	0.49406991770595043	10.684275911995192	0.007303963168719118	
33750	-14846.470168428996	-14828.631753922444	-17.838414506551107	0.8557118495994886	11.279274886426949	0.005747466334519132	
