Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
0	-116930.93195408655	-63555.44312849409	-53375.48882559247	0.1	1.3E-9	0.01
750	-47323.253969435405	-30472.558385070806	-16850.695584364603	4778.508590051242	2.7901926014644467E-5	4.870322503051163
1500	-18947.968382063205	-18038.02727145116	-909.9411106120448	54.841037179923504	0.5962727577055379	0.18275098512194188
2250	-15051.513809784892	-15035.50426197166	-16.009547813231123	0.5947885574350189	10.302278644249638	0.006327302121000223
3000	-14853.725096109512	-14834.462945471245	-19.262150638266917	0.41251567439702014	12.449194166670209	0.006112968757111816
3750	-14847.0118656117	-14828.68017199441	-18.331693617288625	0.6610251333387096	11.98176452836477	0.006920620460601116
4500	-14845.375814506497	-14829.549064146471	-15.826750360026038	0.61176195758003	10.487383927370265	0.0067075175913494985
5250	-14846.290531408626	-14828.762990204084	-17.527541204540647	0.36593789600759946	11.406821044407616	0.006499292982135157
6000	-14851.360067182823	-14834.153216819783	-17.206850363040587	0.37880338021599924	10.082252446070909	0.006793224290427814
6750	-14847.603775679796	-14831.688725103551	-15.915050576245175	0.50865401007508	10.801711654705334	0.005897755433533847
7500	-14850.011511578256	-14833.56030607541	-16.45120550284551	0.6936161272464666	11.007925897445142	0.0065314379777823145
8250	-14846.192920160112	-14830.082005328313	-16.11091483179858	0.6810669297436557	9.836241907458952	0.006449392863716909
9000	-14851.066854769815	-14833.604977209478	-17.461877560338046	0.7836403227171398	11.30327273669901	0.00650838673991432
9750	-14849.53756237077	-14832.705487943253	-16.83207442751617	0.5821313335851639	11.443884096425748	0.007045694108476748
10500	-14854.64719095133	-14837.420707557549	-17.226483393780892	0.3514380204857906	11.113014748540781	0.005323282522942477
11250	-14848.032168303587	-14832.046018215287	-15.98615008829978	0.5372642784215489	10.838637433185594	0.006575098742724939
12000	-14847.214752938831	-14830.977744411233	-16.237008527598533	0.4613064124045231	10.459493837690129	0.007112856054386811
12750	-14852.139012711477	-14834.653718215108	-17.48529449636871	0.6006579378960272	11.803847552865768	0.005905849628060912
13500	-14851.17680679325	-14835.396919802577	-15.779886990673107	0.6277422992118489	10.620290429635801	0.005951643789868941
14250	-14855.51562597193	-14838.996666890476	-16.518959081452856	0.5869847733529441	9.688603489647855	0.008278115041266977
15000	-14851.949210715235	-14835.489095924368	-16.460114790867557	0.44229038695229866	10.81128141659078	0.00762539277836176
15750	-14861.821686580683	-14842.697298176965	-19.124388403717113	0.8968985312361536	11.641805006212993	0.006502392025227237
16500	-14848.811230684727	-14832.497505351595	-16.313725333131977	0.549904946274575	11.347580006138129	0.0050830811722918
