P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
CZ	MA	FR	0.200168	0.887225	0.187479	0.122229	5.07552	3.72135	2.48003
NC	CZ	FR	0.179801	1.07695	0.140751	0.129271	5.07552	4.93837	3.43316
CZ	NN	FR	0.282831	1.21833	0.11155	0.179669	4.45052	4.13802	2.31337
PO	FR	CZ	0.177826	0.841394	0.200064	0.114613	6.17101	6.16927	4.30642
CZ	QU	FR	0.283696	1.21067	0.113011	0.154436	5.07552	3.54844	1.98003
CZ	SW	FR	0.0435278	0.203376	0.419421	0.0326515	5.11198	3.97483	3.64323
CZ	WN	FR	0.307599	1.30895	0.0952761	0.191977	4.98624	4.14397	2.19432
NC	MA	CZ	0.587065	5.15416	1.27388e-07	0.171173	11.8611	3.32292	0.864583
NN	MA	CZ	0.207547	0.76464	0.222243	0.0370769	9.8125	1.33333	0.875
CZ	MA	PO	0.622896	2.49848	0.00623644	0.136531	5.625	5.02083	1.16667
MA	QU	CZ	0.4	1.5382	0.0619997	0.042005	11.0458	0.875	0.375
SW	MA	CZ	0.334709	1.54528	0.061139	0.0861509	9.7066	2.24653	1.11979
MA	WN	CZ	0.126437	0.495379	0.310166	0.0165019	10.7946	0.875	0.678571
NC	NN	CZ	0.428571	3.53901	0.000200817	0.139259	10.2292	3.33333	1.33333
CZ	NC	PO	0.161446	0.906014	0.182464	0.040192	5.625	5.02083	3.625
NC	QU	CZ	0.797753	6.93861	1.97984e-12	0.205988	10.9479	3.33333	0.375
NC	SW	CZ	0.228614	1.46467	0.0715048	0.0927187	9.31076	3.57812	2.24653
NC	WN	CZ	0.661721	4.9873	3.06141e-07	0.18485	10.0327	3.33333	0.678571
CZ	NN	PO	0.510972	1.81916	0.0344435	0.110508	5.625	5.02083	1.625
NN	QU	CZ	0.560976	1.45439	0.0729195	0.0775245	10.3208	1.33333	0.375
SW	NN	CZ	0.211655	0.905524	0.182594	0.0511065	12.1007	1.91319	1.24479
NN	WN	CZ	0.37931	1.08233	0.139552	0.052967	13.1637	1.19048	0.535714
CZ	QU	PO	0.769457	2.7068	0.00339672	0.142102	5.6125	5.02083	0.654167
CZ	SW	PO	0.288911	1.21019	0.113102	0.0639948	5.86979	4.60069	2.53819
CZ	WN	PO	0.676105	2.46299	0.0068891	0.14349	5.625	5.02083	0.970238
SW	QU	CZ	0.567535	2.47753	0.00661483	0.124381	9.66944	2.24653	0.619792
WN	QU	CZ	0.288136	0.983981	0.162563	0.0259309	10.3744	0.678571	0.375
SW	WN	CZ	0.453156	2.02327	0.0215226	0.10117	12.0471	2.12153	0.798363
NC	MA	FR	0.595184	5.47332	2.20842e-08	0.235879	13.5729	3.68056	0.934028
MA	NN	FR	0.291667	1.10136	0.13537	0.06498	10.5417	1.29167	0.708333
PO	MA	FR	0.118881	0.523752	0.300225	0.122376	6.58333	5.83333	4.59375
MA	QU	FR	0.193588	0.754597	0.225245	0.0364352	12.7063	1.00833	0.68125
SW	MA	FR	0.26572	1.25023	0.105607	0.0923912	10.9809	2.16667	1.25694
MA	WN	FR	0.375394	1.48924	0.0682125	0.0789043	12.0595	1.29762	0.589286
NC	NN	FR	0.701536	6.39529	8.0124e-11	0.285977	11.2465	4.03819	0.708333
FR	PO	NC	0.0855998	0.416794	0.338415	0.0733106	7.05208	6.58333	5.54514
NC	QU	FR	0.760155	6.61758	1.82565e-11	0.26397	12.7002	3.55851	0.484896
NC	SW	FR	0.298449	2.0138	0.022015	0.15775	10.8655	3.99566	2.15885
NC	WN	FR	0.745638	5.78967	3.52629e-09	0.296713	11.5858	4.04415	0.589286
FR	NN	PO	0.147442	0.775357	0.219064	0.0570652	6.25	5.95833	4.42708
