P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
NC	CZ	FR	0.179801	1.07695	0.140751	0.129271	5.07552	4.93837	3.43316
NC	MA	CZ	0.587065	5.15416	1.27388e-07	0.171173	11.8611	3.32292	0.864583
NC	QU	CZ	0.797753	6.93861	1.97984e-12	0.205988	10.9479	3.33333	0.375
NC	WN	CZ	0.661721	4.9873	3.06141e-07	0.18485	10.0327	3.33333	0.678571
NC	SW	CZ	0.228614	1.46467	0.0715048	0.0927187	9.31076	3.57812	2.24653
NC	NN	CZ	0.428571	3.53901	0.000200817	0.139259	10.2292	3.33333	1.33333
NC	MA	FR	0.595184	5.47332	2.20842e-08	0.235879	13.5729	3.68056	0.934028
NC	QU	FR	0.760155	6.61758	1.82565e-11	0.26397	12.7002	3.55851	0.484896
NC	WN	FR	0.745638	5.78967	3.52629e-09	0.296713	11.5858	4.04415	0.589286
NC	SW	FR	0.298449	2.0138	0.022015	0.15775	10.8655	3.99566	2.15885
NC	NN	FR	0.701536	6.39529	8.0124e-11	0.285977	11.2465	4.03819	0.708333
CZ	NC	PO	0.161446	0.906014	0.182464	0.040192	5.625	5.02083	3.625
CZ	MA	PO	0.622896	2.49848	0.00623644	0.136531	5.625	5.02083	1.16667
NC	QU	PO	0.803833	7.09126	6.64475e-13	0.108689	11.5396	3.33333	0.3625
CZ	WN	PO	0.676105	2.46299	0.0068891	0.14349	5.625	5.02083	0.970238
CZ	SW	PO	0.288911	1.21019	0.113102	0.0639948	5.86979	4.60069	2.53819
CZ	NN	PO	0.510972	1.81916	0.0344435	0.110508	5.625	5.02083	1.625
WN	MA	NC	0.316751	1.40445	0.0800921	0.54504	4.99157	3.41369	1.77133
NN	QU	NC	0.410924	1.64947	0.0495261	0.485462	4.25208	2.87917	1.20208
SW	WN	NC	0.571172	2.9652	0.00151245	0.433271	6.37574	3.14955	0.859623
SW	NN	NC	0.406238	2.36283	0.00906801	0.346551	6.46181	3.17014	1.33854
SW	WN	MA	0.676287	3.56071	0.000184929	0.335609	3.29762	3.29167	0.635665
NC	MA	SW	0.426699	3.41254	0.000321799	0.73199	5.84968	4.77156	1.91739
NC	MA	NN	0.279335	1.891	0.029312	0.22835	4.73438	4.67535	2.63368
NN	WN	QU	0.196694	0.704615	0.240525	0.0773086	4.12857	2.15476	1.44643
NC	QU	SW	0.621717	5.12636	1.477e-07	0.850693	4.5178	4.32613	1.00911
SW	NN	QU	0.344337	2.41104	0.00795361	0.147352	3.29583	3.05417	1.48958
QU	WN	SW	0.531392	2.41937	0.00777375	3.38954	3.24256	3.16875	0.969643
