P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
BB	JN	JS	0.453008	8.44689	1.4962e-17	0.312166	88.0526	74.2984	27.97
BB	ASL	JS	0.495116	6.06257	6.69804e-10	0.258593	98.7104	57.9451	19.5674
BB	ALI	JS	0.509064	9.22984	0	0.259104	107.833	56.9955	18.542
SD	WAS	JS	0.365177	4.90064	4.77624e-07	0.191845	116.477	60.2215	28.0037
SD	BB	JS	0.291126	3.46557	0.000264551	0.115682	153.245	43.0794	23.6521
WAS	ALI	JN	0.664948	8.89567	2.71051e-19	0.794227	52.3286	51.2817	10.3199
BB	WAS	JN	0.303277	4.72495	1.15084e-06	0.29833	78.7861	47.2764	25.2736
SD	BB	JN	0.491362	6.07619	6.15345e-10	0.347981	109.623	59.5397	20.3064
JS	JN	SD	0.375635	6.62243	1.7667e-11	0.182925	99.2286	73.7495	33.4729
JN	ASL	WAS	0.544548	6.99864	1.29227e-12	0.452208	53.4815	43.4346	12.8079
SD	BB	ASL	0.615218	8.98559	1.0842e-19	0.34192	97.2125	66.1896	15.7679
JS	ASL	SD	0.462696	6.57527	2.4283e-11	0.218678	85.7611	76.1047	27.9562
ASL	ALI	WAS	0.437665	3.50351	0.000229585	0.310675	59.5378	18.694	7.31207
SD	BB	ALI	0.662892	10.0289	0	0.381169	94.1692	73.2942	14.8585
JS	ALI	SD	0.479481	6.62994	1.67907e-11	0.227337	85.1737	77.5755	27.293
ALI	WAS	BB	0.340902	4.58745	2.24346e-06	0.386124	58.2979	47.799	23.4948
ALI	WAS	SD	0.59647	8.34441	3.57787e-17	0.224717	106.157	51.109	12.9185
WAS	BB	SD	0.463142	6.19799	2.85936e-10	0.311293	68.382	64.9528	23.8326
