P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
ASL	ALI	BB	0.42206	3.22645	0.000626676	0.138461	92.7427	17.0958	6.94792
ASL	ALI	JN	0.0127786	0.0901186	0.464096	0.0236786	53.3112	11.4206	11.1324
ASL	ALI	JS	0.0046669	0.0292208	0.488344	0.000678659	134.639	8.15436	8.0786
ASL	ALI	SD	0.114941	0.681256	0.247855	0.0124045	144.432	10.3497	8.21577
ASL	ALI	WAS	0.437665	3.50351	0.000229585	0.310675	59.5378	18.694	7.31207
JN	ALI	BB	0.495774	5.3069	5.5754e-08	0.317483	77.8177	44.0615	14.8531
BB	ALI	JS	0.509064	9.22984	0	0.259104	107.833	56.9955	18.542
SD	BB	ALI	0.662892	10.0289	0	0.381169	94.1692	73.2942	14.8585
ALI	WAS	BB	0.340902	4.58745	2.24346e-06	0.386124	58.2979	47.799	23.4948
ALI	JN	JS	0.143007	2.38007	0.00865472	0.0711067	108.19	31.4711	23.5961
JN	ALI	SD	0.202007	1.94788	0.0257149	0.0553329	121.961	29.7693	19.7634
WAS	ALI	JN	0.664948	8.89567	2.71051e-19	0.794227	52.3286	51.2817	10.3199
JS	ALI	SD	0.479481	6.62994	1.67907e-11	0.227337	85.1737	77.5755	27.293
WAS	ALI	JS	0.506646	7.07836	7.29341e-13	0.187939	123.798	38.1577	12.4948
ALI	WAS	SD	0.59647	8.34441	3.57787e-17	0.224717	106.157	51.109	12.9185
JN	ASL	BB	0.362443	3.94884	3.92652e-05	0.207179	79.4405	35.8246	16.7641
BB	ASL	JS	0.495116	6.06257	6.69804e-10	0.258593	98.7104	57.9451	19.5674
SD	BB	ASL	0.615218	8.98559	1.0842e-19	0.34192	97.2125	66.1896	15.7679
BB	WAS	ASL	0.430928	6.21978	2.48933e-10	0.345311	56.6173	55.7343	22.1652
ASL	JN	JS	0.148968	2.40408	0.00810669	0.0712253	107.092	30.6615	22.7108
JN	ASL	SD	0.171243	1.51119	0.0653694	0.0437743	120.959	26.921	19.049
JN	ASL	WAS	0.544548	6.99864	1.29227e-12	0.452208	53.4815	43.4346	12.8079
JS	ASL	SD	0.462696	6.57527	2.4283e-11	0.218678	85.7611	76.1047	27.9562
WAS	ASL	JS	0.487717	5.12565	1.48259e-07	0.187384	113.36	39.0251	13.438
ASL	WAS	SD	0.589903	8.43945	1.59378e-17	0.234404	98.0074	54.341	14.0166
BB	JN	JS	0.453008	8.44689	1.4962e-17	0.312166	88.0526	74.2984	27.97
SD	BB	JN	0.491362	6.07619	6.15345e-10	0.347981	109.623	59.5397	20.3064
BB	WAS	JN	0.303277	4.72495	1.15084e-06	0.29833	78.7861	47.2764	25.2736
SD	BB	JS	0.291126	3.46557	0.000264551	0.115682	153.245	43.0794	23.6521
BB	WAS	JS	0.20803	3.09676	0.000978234	0.0861841	137.942	37.1373	24.3468
WAS	BB	SD	0.463142	6.19799	2.85936e-10	0.311293	68.382	64.9528	23.8326
JS	JN	SD	0.375635	6.62243	1.7667e-11	0.182925	99.2286	73.7495	33.4729
WAS	JN	JS	0.397574	8.1051	2.63515e-16	0.24561	94.7041	58.9471	25.4092
JN	WAS	SD	0.51557	6.65186	1.44709e-11	0.266526	83.8788	70.8392	22.6427
SD	WAS	JS	0.365177	4.90064	4.77624e-07	0.191845	116.477	60.2215	28.0037
